Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Price,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Comfort_Rating,Emissions,Acceleration,Suspension_Performance,Vehicle_Condition,Tire_Condition,Driver_Experience,Performance_Optimization,Scenario_Adaptability
Mercedes,GLE,Petrol,37,4,56373,Heavy Traffic,31,Highway,Low,Clear,379,,179,6,156,7,5,Well-maintained,Worn,Novice,Medium,3
BMW,3 Series,Electric,34,5,74638,Urban,11,Highway,High,Clear,165,,152,9,249,8,9,Well-maintained,Worn,Expert,Medium,5
Toyota,Corolla,Electric,36,5,68807,Highway,31,Off-road terrain,Medium,Snowy,389,,111,6,259,6,5,Moderate wear,Flat,Novice,Low,2
Toyota,Corolla,Diesel,36,4,26608,Heavy Traffic,7,Off-road terrain,High,Snowy,202,,189,9,226,8,8,Moderate wear,New,Novice,High,2
Ford,Mustang,Petrol,23,5,31183,Extreme Weather,27,Off-road terrain,High,Clear,227,,108,8,197,7,9,Poor,Flat,Expert,Medium,2
BMW,X5,Electric,15,4,35977,Heavy Traffic,6,Off-road terrain,High,Snowy,295,,149,7,275,6,9,Well-maintained,New,Intermediate,Medium,10
Mercedes,GLE,Electric,26,4,72208,Heavy Traffic,25,City streets,Medium,Rainy,438,,125,7,249,5,7,Poor,Worn,Novice,Low,7
Ford,F-150,Diesel,17,4,37326,Extreme Weather,11,Highway,Medium,Rainy,335,,161,6,283,7,5,Poor,New,Novice,Medium,10
Hyundai,Kona EV,Diesel,30,4,74380,Off-Road,4,Highway,Medium,Rainy,423,,180,7,259,6,9,Moderate wear,Worn,Expert,High,9
BMW,X5,Diesel,18,5,76232,Heavy Traffic,-1,Off-road terrain,Medium,Rainy,200,,151,7,157,5,9,Well-maintained,Flat,Expert,Low,1
Ford,F-150,Diesel,29,4,45208,Heavy Traffic,18,Off-road terrain,Low,Rainy,264,,147,6,162,9,7,Poor,Flat,Intermediate,Medium,1
Tesla,Model 3,Petrol,24,5,40545,Heavy Traffic,5,City streets,High,Snowy,216,,168,8,173,5,6,Moderate wear,Flat,Intermediate,Medium,5
Tesla,Model S,Petrol,29,5,51510,Heavy Traffic,27,Highway,Medium,Snowy,266,,123,7,188,6,7,Moderate wear,Worn,Novice,High,10
BMW,X5,Diesel,33,4,22473,Off-Road,21,City streets,Medium,Clear,488,,169,6,232,9,7,Moderate wear,Worn,Novice,Medium,7
BMW,3 Series,Petrol,32,4,78235,Heavy Traffic,7,Off-road terrain,Medium,Clear,373,,177,8,280,5,6,Well-maintained,Flat,Intermediate,Low,2
Hyundai,Sonata,Electric,21,4,31939,Highway,-5,Off-road terrain,Low,Snowy,265,,151,9,288,7,9,Moderate wear,Worn,Intermediate,High,10
Mercedes,GLE,Petrol,32,4,28831,Highway,34,Highway,Low,Rainy,155,,184,8,185,8,5,Poor,Worn,Novice,High,10
Ford,Mustang,Petrol,17,4,21848,Heavy Traffic,20,Highway,High,Rainy,212,,163,7,283,7,6,Poor,Flat,Novice,High,3
Hyundai,Sonata,Petrol,27,4,23774,Extreme Weather,8,Off-road terrain,High,Snowy,348,,175,6,281,6,7,Moderate wear,Flat,Intermediate,Low,10
Hyundai,Sonata,Petrol,29,5,59994,Urban,3,Off-road terrain,Low,Clear,471,,174,8,157,9,8,Poor,Flat,Intermediate,High,2
Toyota,Corolla,Electric,18,4,62381,Off-Road,33,City streets,High,Snowy,358,,136,9,286,6,8,Well-maintained,New,Intermediate,High,4
Mercedes,E-Class,Petrol,23,4,46924,Urban,26,Highway,Low,Clear,179,,183,7,209,5,8,Well-maintained,New,Expert,Low,4
Toyota,Camry,Diesel,37,5,52963,Urban,19,Highway,High,Rainy,284,,112,9,192,5,8,Moderate wear,Worn,Expert,Medium,5
BMW,X5,Diesel,36,5,41087,Off-Road,23,Highway,Low,Rainy,421,,118,6,265,7,6,Moderate wear,New,Novice,Medium,8
BMW,X5,Diesel,23,4,69901,Heavy Traffic,7,City streets,High,Rainy,235,,163,9,229,7,6,Moderate wear,Worn,Novice,Low,1
Mercedes,E-Class,Electric,35,4,25190,Urban,3,Highway,Medium,Snowy,289,,170,7,196,9,6,Poor,New,Expert,Medium,5
Mercedes,E-Class,Diesel,28,4,59293,Urban,33,City streets,Low,Clear,186,,107,8,226,9,7,Moderate wear,Worn,Novice,Low,6
Hyundai,Kona EV,Electric,31,4,50649,Extreme Weather,5,City streets,Medium,Clear,253,,133,7,276,9,7,Well-maintained,Worn,Expert,Low,7
Mercedes,GLE,Diesel,23,4,47407,Highway,7,Highway,Low,Snowy,431,,127,6,226,9,8,Well-maintained,Flat,Intermediate,Low,5
Ford,F-150,Petrol,30,4,70831,Off-Road,14,Off-road terrain,Low,Rainy,315,,171,8,227,8,5,Poor,Flat,Intermediate,High,5
Toyota,Camry,Petrol,23,4,68795,Urban,28,Off-road terrain,Low,Clear,197,,130,9,257,5,5,Poor,Worn,Expert,Low,7
Ford,Mustang,Electric,38,5,53357,Urban,11,City streets,Low,Clear,484,,155,6,217,6,8,Moderate wear,Worn,Novice,Low,10
Tesla,Model S,Electric,27,5,21942,Highway,31,City streets,High,Rainy,487,,148,8,283,6,6,Moderate wear,New,Novice,Medium,7
Ford,F-150,Electric,23,5,61018,Heavy Traffic,-4,Off-road terrain,High,Rainy,314,,170,9,247,7,6,Well-maintained,Worn,Expert,Low,7
Tesla,Model 3,Diesel,29,5,57010,Extreme Weather,29,Off-road terrain,Medium,Snowy,405,,163,7,252,5,7,Moderate wear,New,Intermediate,Low,6
BMW,X5,Petrol,18,5,70660,Urban,34,Off-road terrain,High,Rainy,186,,113,8,272,7,5,Moderate wear,New,Expert,High,6
BMW,X5,Electric,28,4,77911,Off-Road,32,City streets,Low,Rainy,243,,109,7,285,8,6,Poor,Flat,Novice,High,7
BMW,X5,Petrol,25,5,46367,Urban,27,Highway,High,Clear,218,,196,9,179,9,9,Well-maintained,New,Expert,Medium,10
Tesla,Model S,Electric,19,4,70808,Heavy Traffic,10,City streets,High,Snowy,460,,119,9,183,6,9,Moderate wear,Worn,Intermediate,Low,1
Mercedes,E-Class,Petrol,30,4,27386,Highway,9,City streets,Low,Snowy,363,,183,6,169,6,7,Poor,Flat,Expert,High,5
Ford,Mustang,Electric,17,5,41219,Extreme Weather,28,Off-road terrain,High,Rainy,374,,101,7,229,5,8,Poor,Flat,Expert,Medium,6
Hyundai,Kona EV,Electric,28,4,58183,Urban,33,City streets,High,Rainy,329,,196,8,223,5,5,Well-maintained,New,Intermediate,Low,2
Mercedes,E-Class,Diesel,17,4,53262,Urban,17,City streets,High,Rainy,439,,132,7,230,9,7,Moderate wear,Flat,Expert,Low,9
Hyundai,Kona EV,Diesel,30,4,74747,Urban,21,Highway,Low,Rainy,444,,185,9,256,9,6,Moderate wear,Worn,Novice,Low,2
Toyota,Corolla,Petrol,27,4,59351,Extreme Weather,25,Off-road terrain,Medium,Clear,285,,154,6,290,9,8,Moderate wear,Worn,Expert,High,4
BMW,X5,Electric,30,4,40531,Highway,18,City streets,Medium,Snowy,184,,116,6,248,8,9,Poor,Worn,Expert,Medium,8
Toyota,Camry,Diesel,20,4,76063,Urban,3,City streets,Low,Rainy,243,,178,8,164,6,6,Poor,Worn,Intermediate,Low,7
Ford,Mustang,Diesel,18,5,75235,Urban,29,Off-road terrain,High,Snowy,469,,194,6,254,9,6,Well-maintained,New,Intermediate,High,4
Mercedes,E-Class,Electric,30,5,23889,Heavy Traffic,29,Off-road terrain,Medium,Snowy,393,,140,9,288,9,9,Poor,New,Intermediate,Low,8
Ford,Mustang,Electric,32,5,55556,Heavy Traffic,14,City streets,Low,Rainy,228,,122,7,280,9,9,Well-maintained,Worn,Novice,High,2
Toyota,Corolla,Petrol,29,4,52019,Off-Road,15,City streets,High,Rainy,272,,198,7,194,8,7,Well-maintained,Worn,Novice,High,7
BMW,3 Series,Electric,34,5,64293,Heavy Traffic,19,Off-road terrain,Low,Snowy,351,,136,8,162,5,6,Moderate wear,New,Novice,High,10
Ford,Mustang,Electric,31,4,54069,Urban,5,Off-road terrain,High,Rainy,162,,170,9,194,5,7,Moderate wear,Flat,Expert,High,9
Ford,Mustang,Diesel,34,5,79332,Extreme Weather,-1,City streets,High,Rainy,454,,120,6,241,6,6,Poor,Flat,Novice,Medium,4
Toyota,Corolla,Petrol,37,5,72979,Urban,24,Highway,Medium,Clear,416,,130,7,160,9,8,Moderate wear,Worn,Novice,Low,7
BMW,X5,Diesel,20,5,62719,Extreme Weather,5,Off-road terrain,High,Rainy,399,,165,6,227,5,6,Poor,Flat,Expert,High,10
BMW,3 Series,Petrol,22,4,26704,Highway,34,Off-road terrain,Medium,Clear,257,,132,8,226,9,5,Moderate wear,Worn,Novice,Medium,10
BMW,X5,Petrol,27,5,53523,Highway,15,Highway,Medium,Rainy,435,,101,8,260,8,5,Moderate wear,Worn,Intermediate,Low,6
Ford,Mustang,Petrol,22,4,27664,Urban,28,Highway,Medium,Rainy,419,,130,7,261,8,5,Poor,Flat,Intermediate,High,9
Tesla,Model S,Diesel,17,5,38909,Highway,24,Off-road terrain,High,Rainy,310,,132,7,187,6,5,Moderate wear,Worn,Novice,Low,1
Hyundai,Sonata,Electric,33,5,53293,Extreme Weather,-4,City streets,Medium,Snowy,407,,116,8,159,5,7,Well-maintained,Flat,Expert,Medium,5
Mercedes,E-Class,Petrol,24,5,26004,Extreme Weather,12,City streets,Medium,Snowy,456,,140,6,173,5,8,Well-maintained,Flat,Expert,High,2
Tesla,Model S,Diesel,15,4,75598,Highway,33,City streets,Low,Snowy,393,,167,9,185,9,6,Moderate wear,Flat,Expert,Low,6
Tesla,Model S,Diesel,25,5,77085,Off-Road,32,City streets,High,Rainy,263,,103,6,217,8,7,Well-maintained,New,Intermediate,Low,2
Hyundai,Kona EV,Diesel,20,4,48582,Off-Road,10,Highway,Medium,Snowy,461,,107,7,176,7,5,Moderate wear,New,Expert,High,6
Ford,Mustang,Electric,27,4,70909,Off-Road,4,Highway,Medium,Clear,459,,128,7,286,9,9,Moderate wear,New,Novice,Low,8
Hyundai,Sonata,Electric,36,4,28753,Urban,13,Highway,High,Snowy,495,,180,7,168,7,8,Well-maintained,Flat,Novice,Low,7
Mercedes,E-Class,Diesel,27,5,23959,Off-Road,2,Highway,Medium,Clear,303,,117,7,200,8,5,Well-maintained,Flat,Intermediate,Low,10
Ford,F-150,Petrol,38,5,66901,Off-Road,17,Off-road terrain,Low,Rainy,382,,154,6,212,5,6,Well-maintained,Flat,Novice,High,7
Toyota,Corolla,Diesel,20,4,39483,Heavy Traffic,34,Off-road terrain,Medium,Clear,345,,174,6,213,6,7,Poor,Worn,Expert,High,5
Hyundai,Sonata,Electric,23,4,20796,Extreme Weather,32,City streets,Low,Rainy,295,,156,8,209,8,7,Well-maintained,New,Novice,Medium,3
Mercedes,E-Class,Electric,21,5,64542,Urban,13,Highway,High,Rainy,176,,145,7,182,8,6,Poor,Flat,Intermediate,Low,6
Hyundai,Sonata,Petrol,28,5,60831,Urban,16,Highway,Medium,Clear,400,,137,7,285,8,9,Moderate wear,Flat,Intermediate,Medium,4
Toyota,Camry,Petrol,17,5,30532,Urban,11,City streets,Medium,Rainy,380,,193,7,217,7,9,Poor,Worn,Novice,High,6
Mercedes,E-Class,Diesel,27,4,42444,Extreme Weather,3,Highway,Low,Rainy,199,,178,9,247,7,9,Poor,Worn,Intermediate,Low,7
Mercedes,E-Class,Petrol,39,5,52362,Off-Road,22,City streets,Medium,Snowy,345,,177,8,239,8,6,Well-maintained,Worn,Intermediate,Medium,2
Hyundai,Sonata,Diesel,18,4,44680,Heavy Traffic,21,Off-road terrain,Low,Clear,196,,142,6,199,9,5,Well-maintained,Worn,Intermediate,Medium,6
Toyota,Camry,Diesel,29,5,71105,Off-Road,33,Off-road terrain,Medium,Clear,398,,106,9,250,8,8,Poor,Worn,Intermediate,High,10
Hyundai,Kona EV,Petrol,21,4,71969,Highway,7,Off-road terrain,Low,Rainy,325,,173,9,267,5,5,Poor,New,Novice,Low,8
BMW,X5,Electric,31,5,49672,Extreme Weather,7,Off-road terrain,Medium,Snowy,491,,197,7,157,5,9,Moderate wear,Worn,Intermediate,Medium,2
Tesla,Model 3,Electric,15,5,32803,Heavy Traffic,20,Highway,High,Clear,166,,170,7,197,9,7,Poor,Worn,Intermediate,Low,1
Ford,F-150,Diesel,28,4,64888,Off-Road,20,Highway,Medium,Clear,430,,199,9,181,6,6,Well-maintained,Worn,Novice,Medium,10
Tesla,Model 3,Electric,30,5,58526,Highway,27,Off-road terrain,Low,Clear,448,,188,6,162,7,8,Poor,New,Novice,High,4
Toyota,Camry,Diesel,24,4,65414,Heavy Traffic,15,City streets,Medium,Snowy,351,,173,9,294,6,9,Well-maintained,Worn,Expert,High,5
Toyota,Camry,Petrol,15,4,32204,Heavy Traffic,13,Off-road terrain,Low,Clear,186,,169,7,279,7,5,Moderate wear,New,Novice,Low,3
Hyundai,Kona EV,Diesel,25,5,24001,Heavy Traffic,23,Off-road terrain,Low,Clear,352,,124,7,191,6,5,Poor,New,Intermediate,Medium,9
Mercedes,GLE,Petrol,31,4,64864,Heavy Traffic,33,Highway,Low,Snowy,219,,131,9,160,6,6,Poor,Flat,Intermediate,Low,2
BMW,X5,Petrol,25,5,34101,Off-Road,31,Highway,High,Rainy,245,,198,8,266,8,6,Moderate wear,Worn,Expert,Medium,9
Ford,Mustang,Electric,35,5,29765,Urban,13,Highway,High,Clear,152,,136,6,165,5,9,Poor,Worn,Novice,Medium,1
Tesla,Model S,Electric,23,4,49057,Extreme Weather,8,Off-road terrain,Medium,Snowy,163,,104,8,154,9,7,Well-maintained,New,Intermediate,Low,3
Hyundai,Kona EV,Petrol,27,4,64542,Urban,12,Off-road terrain,Medium,Clear,227,,155,9,199,6,6,Poor,New,Expert,Medium,10
Mercedes,E-Class,Petrol,32,5,72165,Off-Road,8,City streets,High,Snowy,242,,198,9,187,8,7,Poor,Flat,Novice,Medium,10
Mercedes,E-Class,Electric,24,4,68047,Highway,27,City streets,Low,Rainy,487,,118,8,206,7,5,Moderate wear,Flat,Intermediate,High,9
BMW,X5,Petrol,32,5,72748,Heavy Traffic,8,City streets,High,Clear,264,,143,9,231,6,8,Moderate wear,Worn,Expert,Medium,2
BMW,3 Series,Diesel,33,5,29321,Heavy Traffic,27,Highway,High,Clear,249,,160,9,204,7,7,Well-maintained,Flat,Intermediate,High,6
BMW,3 Series,Diesel,25,4,54312,Highway,5,Off-road terrain,Medium,Clear,326,,101,8,160,6,7,Poor,Worn,Expert,Low,9
BMW,3 Series,Electric,16,5,64740,Urban,4,Highway,Medium,Snowy,377,,165,7,226,7,9,Moderate wear,Flat,Expert,Medium,10
Ford,Mustang,Diesel,38,5,20533,Extreme Weather,13,City streets,Medium,Rainy,399,,151,9,227,6,8,Moderate wear,Worn,Novice,High,10
Hyundai,Sonata,Electric,22,5,31332,Extreme Weather,0,City streets,High,Snowy,414,,114,9,254,7,9,Poor,Flat,Intermediate,Low,3
Toyota,Camry,Electric,17,5,44073,Urban,17,Off-road terrain,Medium,Rainy,295,,124,8,297,6,9,Moderate wear,Worn,Novice,Low,7
Ford,F-150,Diesel,17,5,65206,Extreme Weather,17,Off-road terrain,Low,Clear,490,,152,7,217,5,5,Well-maintained,Worn,Expert,Low,1
Tesla,Model S,Petrol,24,4,66877,Highway,14,Off-road terrain,Medium,Rainy,201,,162,6,269,5,6,Poor,New,Novice,High,1
Hyundai,Sonata,Petrol,37,5,72433,Urban,4,Highway,Low,Rainy,154,,133,9,294,5,8,Moderate wear,New,Intermediate,Low,5
Ford,Mustang,Petrol,18,4,23521,Urban,21,City streets,Low,Clear,232,,165,7,163,8,6,Poor,New,Expert,Medium,3
Mercedes,E-Class,Electric,33,4,40852,Urban,34,Off-road terrain,Medium,Clear,172,,106,6,291,7,7,Moderate wear,New,Intermediate,Low,4
Hyundai,Kona EV,Electric,17,5,58405,Extreme Weather,29,Off-road terrain,Low,Rainy,479,,196,9,229,7,6,Well-maintained,Flat,Novice,High,8
BMW,X5,Petrol,25,4,26450,Heavy Traffic,15,Off-road terrain,Low,Clear,394,,105,6,225,6,5,Moderate wear,Worn,Expert,Low,10
Hyundai,Kona EV,Diesel,37,4,73257,Extreme Weather,17,Highway,Medium,Clear,262,,129,9,227,9,5,Moderate wear,New,Expert,Medium,7
Toyota,Corolla,Electric,25,5,60751,Extreme Weather,26,Off-road terrain,Low,Snowy,391,,144,9,236,8,7,Moderate wear,Worn,Intermediate,Medium,1
Mercedes,E-Class,Petrol,24,5,68971,Highway,4,Highway,Medium,Snowy,393,,194,8,267,9,5,Poor,Worn,Expert,Low,9
BMW,X5,Electric,26,4,33881,Highway,16,Off-road terrain,Low,Snowy,453,,103,6,285,5,8,Moderate wear,Flat,Novice,Low,5
Ford,Mustang,Petrol,38,4,69581,Highway,-1,Off-road terrain,Medium,Clear,498,,127,9,203,9,8,Moderate wear,Worn,Expert,High,7
Mercedes,E-Class,Petrol,32,4,28573,Urban,25,Off-road terrain,Low,Clear,239,,186,7,204,6,9,Poor,Worn,Novice,Low,10
Tesla,Model S,Petrol,36,5,73554,Urban,31,Off-road terrain,High,Snowy,231,,198,7,216,9,5,Poor,Flat,Novice,High,6
Tesla,Model S,Diesel,35,4,54469,Heavy Traffic,5,Off-road terrain,Low,Snowy,358,,138,8,276,9,5,Well-maintained,Flat,Novice,High,3
Toyota,Corolla,Electric,19,4,76630,Extreme Weather,21,City streets,Medium,Snowy,179,,138,8,162,6,8,Poor,Flat,Expert,Low,7
Tesla,Model S,Electric,22,4,64145,Extreme Weather,14,Highway,Low,Snowy,437,,125,7,297,6,6,Poor,Worn,Expert,Medium,5
Mercedes,GLE,Diesel,23,5,38174,Heavy Traffic,3,City streets,High,Snowy,203,,164,7,281,8,6,Moderate wear,Flat,Intermediate,High,10
Toyota,Camry,Diesel,30,5,46015,Extreme Weather,2,Off-road terrain,Low,Snowy,445,,126,9,254,6,7,Well-maintained,Flat,Expert,High,1
Ford,F-150,Petrol,37,5,77576,Highway,28,Highway,High,Snowy,208,,102,6,227,7,5,Moderate wear,New,Novice,High,1
BMW,3 Series,Electric,22,5,44506,Highway,21,Highway,Medium,Rainy,481,,121,9,161,7,8,Poor,New,Expert,Low,9
Mercedes,E-Class,Diesel,22,4,50399,Heavy Traffic,9,Off-road terrain,High,Clear,364,,178,8,252,6,6,Moderate wear,Flat,Expert,Medium,3
Tesla,Model S,Petrol,24,5,41529,Urban,2,Highway,Medium,Rainy,447,,136,7,289,8,5,Moderate wear,Worn,Expert,High,4
Ford,Mustang,Electric,15,4,57653,Highway,13,Highway,Low,Rainy,365,,160,9,180,6,7,Well-maintained,Worn,Expert,High,6
BMW,X5,Electric,38,5,27276,Highway,34,City streets,High,Snowy,167,,140,7,292,9,6,Well-maintained,Flat,Intermediate,High,7
Toyota,Camry,Diesel,31,4,56375,Highway,8,City streets,Low,Rainy,258,,123,8,156,5,7,Poor,Worn,Novice,Low,5
Ford,F-150,Diesel,19,4,49536,Off-Road,-2,Off-road terrain,Low,Rainy,339,,159,9,233,5,9,Moderate wear,New,Novice,High,6
Ford,Mustang,Petrol,38,5,41537,Extreme Weather,33,Off-road terrain,Low,Rainy,301,,102,6,238,7,9,Moderate wear,New,Intermediate,Low,7
Toyota,Corolla,Diesel,39,4,75372,Extreme Weather,25,City streets,High,Rainy,181,,108,9,244,5,9,Poor,New,Expert,Medium,6
Tesla,Model 3,Petrol,31,5,67419,Extreme Weather,7,Highway,Low,Snowy,220,,127,7,162,8,5,Poor,Flat,Intermediate,High,8
BMW,X5,Diesel,32,4,61756,Highway,23,Off-road terrain,Low,Snowy,170,,142,7,225,9,7,Well-maintained,Worn,Intermediate,Medium,5
Toyota,Corolla,Electric,21,4,43583,Off-Road,27,Highway,Low,Snowy,428,,142,8,151,6,7,Well-maintained,Worn,Expert,Low,7
BMW,X5,Diesel,32,5,64844,Heavy Traffic,10,Off-road terrain,Medium,Clear,342,,181,7,164,5,5,Moderate wear,Worn,Novice,Medium,3
Hyundai,Kona EV,Electric,24,4,29431,Extreme Weather,20,City streets,High,Rainy,335,,111,6,265,6,5,Well-maintained,Flat,Intermediate,Medium,1
Toyota,Corolla,Electric,39,5,24132,Extreme Weather,14,Off-road terrain,Low,Rainy,254,,118,6,207,8,7,Well-maintained,Worn,Expert,High,7
Mercedes,GLE,Electric,17,4,66290,Highway,33,Off-road terrain,Medium,Snowy,399,,156,6,201,7,8,Moderate wear,Worn,Intermediate,Low,7
Mercedes,E-Class,Electric,35,4,24158,Highway,30,Off-road terrain,Low,Snowy,299,,171,8,262,9,8,Poor,Worn,Intermediate,High,6
Mercedes,GLE,Electric,19,5,73516,Urban,30,Off-road terrain,Low,Snowy,392,,185,8,152,9,7,Moderate wear,Worn,Novice,Medium,9
Tesla,Model 3,Electric,21,5,47326,Highway,19,Off-road terrain,Medium,Snowy,195,,176,7,181,5,8,Moderate wear,Worn,Expert,Low,6
Toyota,Camry,Petrol,22,4,64588,Heavy Traffic,11,City streets,Medium,Clear,333,,162,8,223,6,8,Well-maintained,Worn,Expert,High,10
Tesla,Model 3,Diesel,35,5,73470,Heavy Traffic,11,Highway,High,Snowy,382,,114,9,298,8,7,Moderate wear,New,Intermediate,High,10
Hyundai,Sonata,Electric,15,5,66861,Extreme Weather,7,City streets,High,Clear,334,,116,9,163,7,5,Poor,Worn,Novice,High,2
Ford,Mustang,Petrol,26,4,36761,Urban,19,City streets,High,Rainy,462,,136,9,186,8,6,Well-maintained,Flat,Expert,High,3
BMW,X5,Diesel,37,4,33986,Off-Road,1,Highway,Medium,Snowy,499,,197,6,281,6,5,Moderate wear,Worn,Expert,High,2
Tesla,Model S,Petrol,17,4,33281,Heavy Traffic,23,City streets,Medium,Clear,233,,173,9,167,9,9,Well-maintained,Flat,Expert,Low,10
Toyota,Camry,Electric,35,5,63188,Off-Road,15,City streets,Medium,Rainy,424,,103,6,265,9,5,Well-maintained,Worn,Expert,Low,3
Toyota,Corolla,Petrol,18,4,63022,Off-Road,33,Off-road terrain,Low,Clear,450,,131,9,246,5,5,Moderate wear,Worn,Expert,Low,6
Ford,F-150,Electric,30,5,70924,Extreme Weather,2,Off-road terrain,Low,Clear,294,,117,9,292,8,5,Poor,New,Expert,Medium,2
Tesla,Model 3,Petrol,27,4,23956,Highway,20,Highway,High,Rainy,390,,119,9,241,8,5,Well-maintained,New,Intermediate,High,1
Toyota,Camry,Electric,24,5,42315,Off-Road,26,Off-road terrain,High,Snowy,407,,189,6,294,5,8,Moderate wear,Flat,Intermediate,High,4
Hyundai,Sonata,Electric,21,4,75202,Heavy Traffic,0,Off-road terrain,High,Snowy,451,,143,9,157,6,9,Well-maintained,New,Expert,High,4
Hyundai,Sonata,Electric,21,5,20164,Extreme Weather,20,Off-road terrain,Medium,Snowy,171,,138,8,207,6,6,Moderate wear,Worn,Intermediate,Low,10
Mercedes,E-Class,Petrol,29,4,67177,Highway,26,City streets,Medium,Clear,484,,147,8,189,7,8,Poor,Flat,Intermediate,Medium,9
Mercedes,GLE,Diesel,38,4,39623,Extreme Weather,8,Off-road terrain,Medium,Snowy,238,,160,6,275,9,5,Poor,Flat,Novice,Medium,5
Hyundai,Kona EV,Petrol,15,4,40455,Extreme Weather,19,Off-road terrain,High,Snowy,277,,180,7,153,9,8,Poor,Worn,Expert,High,7
Toyota,Corolla,Diesel,39,4,33786,Extreme Weather,15,Off-road terrain,High,Clear,460,,108,6,298,8,9,Poor,Flat,Expert,Medium,8
Tesla,Model 3,Petrol,26,4,62278,Heavy Traffic,13,Off-road terrain,High,Clear,457,,185,8,269,8,9,Well-maintained,Flat,Novice,Medium,10
Ford,Mustang,Petrol,20,5,69419,Off-Road,17,Highway,Medium,Snowy,236,,152,6,281,9,6,Poor,New,Intermediate,Low,8
Ford,F-150,Electric,27,4,67578,Urban,-1,Highway,Medium,Clear,308,,173,7,175,8,7,Well-maintained,New,Novice,Medium,4
BMW,X5,Petrol,25,4,74887,Urban,16,Highway,Low,Snowy,293,,134,6,152,8,9,Moderate wear,New,Expert,Medium,5
Mercedes,E-Class,Petrol,24,4,70526,Urban,18,City streets,Low,Snowy,198,,165,8,174,8,7,Poor,New,Intermediate,Medium,9
Mercedes,GLE,Petrol,35,4,48894,Heavy Traffic,14,Off-road terrain,Medium,Clear,210,,127,8,152,9,5,Poor,Flat,Novice,Low,2
Mercedes,GLE,Diesel,19,4,60565,Highway,14,Off-road terrain,High,Rainy,342,,114,7,270,5,6,Moderate wear,New,Expert,Low,1
Hyundai,Kona EV,Petrol,16,5,30120,Highway,17,Off-road terrain,Low,Rainy,443,,139,8,231,9,9,Poor,Worn,Expert,Medium,2
Tesla,Model 3,Electric,20,4,62967,Off-Road,-5,Off-road terrain,Low,Rainy,176,,111,8,179,6,6,Well-maintained,Flat,Expert,Low,3
Hyundai,Kona EV,Electric,21,4,77716,Off-Road,34,Highway,High,Clear,339,,109,9,195,7,8,Well-maintained,Worn,Expert,Medium,6
Ford,Mustang,Diesel,32,5,41618,Heavy Traffic,12,Off-road terrain,High,Snowy,487,,144,8,235,7,7,Well-maintained,Flat,Expert,Medium,2
Toyota,Corolla,Electric,33,5,48029,Highway,18,Highway,High,Clear,310,,120,6,202,9,5,Moderate wear,Worn,Expert,High,10
