Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Price,Price_IR,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Comfort_Rating,Emissions,Acceleration,Suspension_Performance,Vehicle_Condition,Tire_Condition,Driver_Experience,Performance_Optimization,Scenario_Adaptability,Rim_Wheel_Size,Rim_Wheel_Style,Rim_Wheel_Material,Spoiler,Bumper_Type,Side_Skirts,Power_Upgrade,Turbo_Supercharger
Ford,Mustang,Diesel,35,5,74337,6318645,Urban,6,Highway,Medium,Rainy,404,,170,6,150,6,6,Poor,Worn,Novice,Medium,6,18,Sport,Carbon Fiber,Yes,Sport,No,Stock,Turbo
BMW,3 Series,Diesel,26,4,60696,5159160,Off-Road,27,Highway,Low,Clear,267,,193,8,286,9,8,Poor,New,Novice,Low,5,21,Sport,Carbon Fiber,No,Sport,Yes,Stage 1,Turbo
Ford,Mustang,Diesel,15,5,79050,6719250,Heavy Traffic,12,Highway,Low,Rainy,244,,110,9,272,6,8,Well-maintained,Worn,Novice,Medium,2,21,Off-road,Steel,No,Sport,No,Stage 1,None
BMW,X5,Electric,21,5,29782,2531470,Highway,10,Off-road terrain,Medium,Clear,373,,191,8,268,5,5,Moderate wear,New,Intermediate,High,7,17,Off-road,Carbon Fiber,Yes,Reinforced,No,Stock,Supercharger
Mercedes,GLE,Diesel,29,4,73006,6205510,Heavy Traffic,1,City streets,High,Snowy,488,,109,9,178,7,8,Poor,Worn,Novice,High,3,19,Sport,Steel,No,Standard,Yes,Stage 1,Turbo
Tesla,Model 3,Electric,17,5,36940,3139900,Highway,2,Off-road terrain,Low,Snowy,158,,159,7,226,9,5,Poor,Flat,Expert,Medium,2,18,Classic,Steel,Yes,Standard,Yes,Stock,Turbo
Toyota,Camry,Petrol,32,5,70383,5982555,Urban,2,City streets,Low,Clear,161,,188,6,261,5,8,Well-maintained,Flat,Expert,Medium,5,17,Luxury,Steel,Yes,Sport,Yes,Stock,Supercharger
Tesla,Model S,Petrol,39,4,70971,6032535,Highway,12,Off-road terrain,High,Rainy,241,,150,9,260,5,8,Well-maintained,Worn,Novice,Medium,3,21,Off-road,Alloy,No,Sport,No,Stage 3,None
Ford,Mustang,Petrol,16,4,21141,1796985,Heavy Traffic,12,Off-road terrain,Medium,Clear,450,,146,8,225,9,6,Poor,New,Expert,Low,3,20,Classic,Alloy,No,Sport,No,Stock,Turbo
Tesla,Model S,Diesel,33,4,34892,2965820,Heavy Traffic,18,City streets,Low,Rainy,363,,122,9,168,6,8,Poor,Flat,Novice,Low,4,18,Sport,Carbon Fiber,Yes,Reinforced,No,Stock,None
Mercedes,GLE,Diesel,37,4,52894,4495990,Urban,29,Highway,Low,Clear,459,,121,9,177,7,8,Well-maintained,Worn,Expert,Low,6,18,Sport,Steel,No,Reinforced,Yes,Stage 1,Turbo
Mercedes,GLE,Petrol,37,4,24758,2104430,Heavy Traffic,17,Off-road terrain,High,Clear,307,,176,8,295,5,9,Well-maintained,Flat,Expert,Low,2,20,Luxury,Steel,No,Sport,Yes,Stage 3,None
Tesla,Model S,Electric,23,4,38771,3295535,Off-Road,21,Highway,High,Rainy,394,,156,8,170,6,9,Well-maintained,New,Expert,High,6,19,Luxury,Carbon Fiber,No,Standard,No,Stage 2,None
Mercedes,GLE,Diesel,20,4,62481,5310885,Urban,0,Off-road terrain,Low,Clear,224,,113,7,152,9,7,Well-maintained,Flat,Intermediate,High,4,21,Off-road,Steel,No,Sport,No,Stock,None
Mercedes,GLE,Diesel,33,4,57016,4846360,Heavy Traffic,28,City streets,Medium,Snowy,360,,124,9,222,5,6,Poor,New,Intermediate,Low,2,20,Off-road,Carbon Fiber,No,Standard,Yes,Stage 3,Turbo
Ford,F-150,Diesel,21,4,60005,5100425,Heavy Traffic,26,City streets,High,Clear,436,,109,7,167,8,8,Well-maintained,New,Expert,Low,4,17,Sport,Alloy,No,Sport,No,Stock,None
Toyota,Corolla,Petrol,34,5,44162,3753770,Urban,-1,Off-road terrain,Low,Rainy,228,,117,8,151,9,9,Moderate wear,New,Intermediate,High,9,18,Luxury,Steel,Yes,Reinforced,Yes,Stage 1,None
Tesla,Model 3,Petrol,24,5,63492,5396820,Urban,7,City streets,Low,Rainy,222,,151,8,279,8,9,Poor,New,Intermediate,Medium,3,18,Luxury,Carbon Fiber,Yes,Standard,No,Stage 3,Turbo
Mercedes,E-Class,Diesel,39,4,51926,4413710,Urban,11,City streets,Medium,Snowy,162,,191,7,268,7,6,Poor,Worn,Expert,Medium,4,20,Classic,Carbon Fiber,No,Reinforced,Yes,Stage 1,Supercharger
Mercedes,E-Class,Diesel,39,4,24239,2060315,Off-Road,18,City streets,High,Snowy,184,,154,7,251,8,7,Well-maintained,New,Expert,Medium,8,20,Classic,Steel,Yes,Sport,Yes,Stage 2,Turbo
Tesla,Model 3,Diesel,24,5,71372,6066620,Highway,7,Off-road terrain,High,Snowy,183,,135,6,155,6,9,Moderate wear,New,Expert,High,8,21,Luxury,Steel,No,Reinforced,No,Stage 2,Turbo
Tesla,Model 3,Diesel,30,5,78533,6675305,Off-Road,8,Off-road terrain,Medium,Rainy,170,,153,9,252,7,7,Moderate wear,Flat,Expert,High,1,17,Off-road,Carbon Fiber,No,Standard,No,Stage 2,Supercharger
Mercedes,E-Class,Electric,15,4,26380,2242300,Extreme Weather,34,Off-road terrain,High,Snowy,368,,179,7,236,5,7,Poor,Worn,Novice,High,2,19,Luxury,Alloy,Yes,Reinforced,No,Stage 2,None
BMW,X5,Electric,17,5,31695,2694075,Urban,-1,Off-road terrain,High,Snowy,265,,113,8,261,9,9,Poor,Flat,Novice,Low,2,18,Luxury,Carbon Fiber,Yes,Reinforced,No,Stage 3,Turbo
Ford,Mustang,Electric,17,5,59182,5030470,Highway,30,Off-road terrain,High,Snowy,339,,146,6,254,6,9,Moderate wear,New,Novice,High,2,21,Luxury,Alloy,No,Standard,Yes,Stage 1,Supercharger
Hyundai,Sonata,Petrol,39,4,47125,4005625,Extreme Weather,1,City streets,High,Rainy,187,,113,9,240,6,5,Well-maintained,Worn,Novice,Medium,4,21,Sport,Carbon Fiber,No,Reinforced,No,Stage 3,Supercharger
Mercedes,E-Class,Electric,16,4,26449,2248165,Heavy Traffic,11,Highway,High,Rainy,281,,184,8,243,5,5,Well-maintained,New,Expert,High,5,19,Off-road,Carbon Fiber,No,Reinforced,Yes,Stage 2,None
Toyota,Corolla,Diesel,16,5,55427,4711295,Highway,16,Highway,Medium,Clear,306,,137,8,259,5,6,Poor,New,Expert,High,1,18,Sport,Carbon Fiber,Yes,Reinforced,No,Stage 1,None
BMW,3 Series,Electric,37,5,54335,4618475,Heavy Traffic,27,Highway,Low,Rainy,377,,159,7,211,6,6,Moderate wear,New,Novice,Medium,6,21,Classic,Steel,No,Reinforced,No,Stock,None
Mercedes,E-Class,Electric,33,5,66158,5623430,Heavy Traffic,12,Off-road terrain,Medium,Snowy,435,,197,7,216,6,6,Poor,Worn,Intermediate,Medium,1,21,Luxury,Steel,Yes,Reinforced,No,Stage 3,Turbo
BMW,3 Series,Electric,26,4,79213,6733105,Urban,3,Off-road terrain,High,Rainy,447,,150,9,277,8,7,Moderate wear,New,Intermediate,High,1,21,Classic,Alloy,Yes,Sport,Yes,Stage 2,Supercharger
Tesla,Model 3,Electric,24,5,64243,5460655,Urban,23,Off-road terrain,Low,Snowy,247,,164,8,261,6,6,Well-maintained,Worn,Intermediate,Low,9,20,Sport,Steel,Yes,Standard,No,Stock,Supercharger
Hyundai,Kona EV,Electric,15,4,46081,3916885,Off-Road,29,Highway,Low,Snowy,457,,184,6,214,7,5,Poor,New,Novice,Low,6,19,Luxury,Carbon Fiber,Yes,Reinforced,No,Stock,None
Ford,Mustang,Diesel,21,5,31962,2716770,Extreme Weather,17,Off-road terrain,Low,Clear,257,,178,7,195,9,8,Moderate wear,Worn,Expert,Low,2,21,Luxury,Steel,Yes,Standard,Yes,Stage 1,None
Ford,Mustang,Petrol,36,4,25269,2147865,Heavy Traffic,26,City streets,Low,Clear,388,,157,7,295,9,5,Poor,Flat,Intermediate,High,7,20,Sport,Alloy,Yes,Sport,Yes,Stage 2,Turbo
BMW,X5,Electric,16,5,45142,3837070,Highway,21,City streets,Low,Clear,204,,196,9,236,9,6,Poor,Flat,Expert,Low,2,18,Classic,Steel,Yes,Standard,No,Stage 3,None
Toyota,Corolla,Electric,21,4,46655,3965675,Urban,25,Highway,High,Snowy,254,,100,6,163,8,6,Poor,Worn,Intermediate,Medium,4,19,Luxury,Alloy,Yes,Sport,No,Stage 3,None
Mercedes,GLE,Petrol,31,5,66270,5632950,Extreme Weather,6,City streets,High,Clear,469,,158,7,279,8,6,Poor,New,Expert,High,7,17,Sport,Carbon Fiber,No,Reinforced,No,Stock,Turbo
BMW,3 Series,Electric,38,5,65156,5538260,Highway,32,City streets,Low,Clear,269,,196,6,206,6,5,Moderate wear,New,Novice,High,5,21,Luxury,Carbon Fiber,Yes,Reinforced,No,Stock,None
Ford,Mustang,Petrol,31,4,32982,2803470,Highway,23,Highway,Low,Snowy,423,,141,9,250,9,6,Well-maintained,New,Intermediate,High,4,18,Sport,Steel,No,Sport,Yes,Stock,Supercharger
Ford,F-150,Electric,19,5,31468,2674780,Extreme Weather,9,Off-road terrain,High,Snowy,396,,118,7,175,5,6,Moderate wear,Worn,Novice,Medium,5,19,Off-road,Carbon Fiber,Yes,Sport,No,Stage 2,None
Tesla,Model 3,Electric,17,4,77248,6566080,Urban,6,City streets,High,Rainy,198,,154,7,248,8,8,Well-maintained,Worn,Expert,Medium,4,18,Classic,Carbon Fiber,Yes,Reinforced,Yes,Stage 2,Supercharger
Mercedes,GLE,Petrol,21,4,38895,3306075,Urban,10,Highway,Low,Clear,497,,105,9,297,5,7,Moderate wear,Worn,Intermediate,Low,1,20,Luxury,Carbon Fiber,Yes,Standard,Yes,Stage 2,None
Ford,F-150,Electric,28,4,48412,4115020,Heavy Traffic,20,Off-road terrain,Medium,Snowy,257,,129,6,289,6,8,Well-maintained,New,Intermediate,Medium,2,21,Sport,Steel,No,Standard,Yes,Stock,None
BMW,3 Series,Diesel,30,5,78446,6667910,Heavy Traffic,7,Off-road terrain,Low,Rainy,279,,183,9,195,7,8,Moderate wear,Worn,Expert,Medium,6,17,Luxury,Alloy,Yes,Reinforced,No,Stock,Turbo
Mercedes,GLE,Diesel,22,4,65178,5540130,Extreme Weather,24,City streets,High,Rainy,220,,195,9,168,8,7,Well-maintained,Flat,Novice,Low,5,17,Off-road,Carbon Fiber,No,Reinforced,Yes,Stage 3,Turbo
Tesla,Model S,Petrol,20,5,56132,4771220,Off-Road,3,Off-road terrain,High,Rainy,166,,125,6,221,9,5,Poor,Worn,Intermediate,High,3,21,Off-road,Carbon Fiber,Yes,Standard,No,Stage 1,None
Hyundai,Sonata,Electric,31,4,23240,1975400,Highway,4,Highway,Low,Rainy,372,,100,9,252,8,6,Well-maintained,Worn,Intermediate,High,6,20,Luxury,Carbon Fiber,No,Sport,No,Stock,Turbo
Toyota,Camry,Electric,22,4,41584,3534640,Highway,4,Highway,Medium,Clear,274,,150,8,276,8,5,Moderate wear,Worn,Expert,High,4,20,Sport,Steel,Yes,Standard,No,Stage 1,Supercharger
Ford,F-150,Diesel,26,5,74797,6357745,Extreme Weather,15,Highway,Low,Clear,455,,193,8,169,5,5,Moderate wear,Worn,Intermediate,Medium,6,20,Sport,Alloy,Yes,Sport,No,Stock,None
BMW,3 Series,Petrol,38,4,68421,5815785,Highway,18,Off-road terrain,Medium,Rainy,349,,120,9,219,9,5,Moderate wear,Flat,Novice,Low,2,17,Luxury,Alloy,Yes,Reinforced,Yes,Stage 3,None
BMW,X5,Electric,39,4,37400,3179000,Extreme Weather,26,Highway,Medium,Rainy,480,,122,7,206,8,9,Poor,Flat,Novice,High,2,18,Classic,Steel,Yes,Reinforced,No,Stage 1,None
Ford,F-150,Diesel,38,5,40914,3477690,Urban,12,Highway,Medium,Clear,221,,129,9,202,6,8,Well-maintained,Flat,Intermediate,Medium,10,19,Classic,Alloy,No,Reinforced,Yes,Stage 1,None
BMW,X5,Diesel,37,4,49412,4200020,Heavy Traffic,24,Off-road terrain,Medium,Clear,400,,153,9,214,8,6,Well-maintained,New,Intermediate,High,5,17,Classic,Carbon Fiber,No,Standard,Yes,Stage 2,None
Ford,Mustang,Petrol,26,4,22663,1926355,Heavy Traffic,6,Highway,High,Snowy,305,,181,6,151,9,6,Moderate wear,Flat,Intermediate,High,5,20,Classic,Alloy,No,Reinforced,Yes,Stage 1,Supercharger
Mercedes,E-Class,Petrol,21,5,51085,4342225,Off-Road,9,Highway,High,Rainy,189,,127,9,248,8,9,Moderate wear,New,Expert,Medium,5,19,Sport,Steel,No,Standard,Yes,Stage 1,None
Mercedes,E-Class,Petrol,18,4,71660,6091100,Heavy Traffic,17,Off-road terrain,Medium,Clear,253,,179,8,202,6,5,Moderate wear,New,Novice,High,5,20,Classic,Carbon Fiber,Yes,Standard,No,Stage 2,None
Hyundai,Kona EV,Petrol,27,4,68353,5810005,Extreme Weather,7,Off-road terrain,Medium,Snowy,207,,177,8,191,8,9,Well-maintained,Flat,Novice,High,3,21,Classic,Steel,Yes,Reinforced,No,Stage 3,None
Ford,F-150,Diesel,24,5,28412,2415020,Urban,13,Highway,High,Snowy,153,,194,7,229,8,5,Poor,Worn,Novice,Low,9,20,Sport,Steel,No,Sport,No,Stage 3,None
Mercedes,E-Class,Electric,27,5,28417,2415445,Highway,8,City streets,Low,Snowy,356,,127,7,229,8,8,Well-maintained,Worn,Intermediate,High,7,17,Sport,Steel,No,Reinforced,No,Stock,None
Ford,F-150,Electric,20,4,68885,5855225,Off-Road,33,Highway,Low,Snowy,299,,103,6,208,5,8,Poor,Flat,Intermediate,High,8,19,Luxury,Carbon Fiber,No,Sport,Yes,Stock,Supercharger
Hyundai,Sonata,Diesel,27,4,41168,3499280,Off-Road,20,City streets,High,Snowy,176,,167,9,262,6,5,Moderate wear,Flat,Novice,Low,5,20,Classic,Carbon Fiber,Yes,Sport,Yes,Stage 1,Turbo
BMW,X5,Diesel,30,4,64980,5523300,Extreme Weather,14,Off-road terrain,High,Snowy,314,,120,8,294,6,9,Well-maintained,Flat,Intermediate,High,2,18,Off-road,Alloy,Yes,Standard,Yes,Stock,None
Hyundai,Kona EV,Petrol,16,5,48408,4114680,Extreme Weather,-2,Off-road terrain,Medium,Snowy,474,,154,7,191,5,9,Poor,New,Intermediate,Medium,10,19,Classic,Carbon Fiber,Yes,Sport,No,Stage 2,None
Hyundai,Sonata,Petrol,35,5,75899,6451415,Extreme Weather,33,Highway,Low,Snowy,198,,108,6,218,6,5,Moderate wear,Flat,Novice,Medium,3,19,Classic,Steel,No,Standard,No,Stage 1,Turbo
BMW,3 Series,Diesel,18,5,69597,5915745,Urban,23,Off-road terrain,Low,Clear,257,,109,8,155,5,5,Poor,Worn,Expert,High,8,18,Luxury,Carbon Fiber,Yes,Standard,No,Stage 1,Supercharger
Hyundai,Sonata,Diesel,20,4,64548,5486580,Extreme Weather,15,Highway,High,Rainy,206,,192,8,277,5,5,Well-maintained,Flat,Intermediate,High,3,17,Sport,Steel,Yes,Reinforced,No,Stage 2,None
Toyota,Camry,Electric,35,4,73228,6224380,Off-Road,14,City streets,Medium,Clear,333,,154,9,264,9,9,Well-maintained,Flat,Novice,High,2,20,Luxury,Carbon Fiber,Yes,Reinforced,Yes,Stage 2,Supercharger
Tesla,Model S,Electric,18,5,45616,3877360,Highway,21,Off-road terrain,Medium,Rainy,168,,116,6,266,7,5,Poor,New,Intermediate,High,5,20,Classic,Carbon Fiber,No,Standard,No,Stage 3,None
Hyundai,Kona EV,Petrol,24,5,70839,6021315,Extreme Weather,8,City streets,Medium,Clear,206,,182,9,166,7,7,Poor,New,Novice,Low,9,21,Sport,Alloy,Yes,Sport,No,Stage 2,None
BMW,3 Series,Electric,31,5,76530,6505050,Extreme Weather,6,City streets,Low,Clear,258,,100,7,196,7,7,Moderate wear,Flat,Intermediate,Medium,2,21,Off-road,Steel,No,Reinforced,Yes,Stage 2,Turbo
Tesla,Model S,Diesel,21,4,47445,4032825,Urban,25,Highway,Medium,Clear,187,,158,8,286,7,5,Moderate wear,Flat,Expert,Low,2,18,Luxury,Steel,No,Reinforced,No,Stock,None
Mercedes,GLE,Electric,28,4,34744,2953240,Extreme Weather,22,Highway,High,Rainy,299,,130,8,197,8,9,Moderate wear,Flat,Expert,High,1,18,Luxury,Alloy,No,Standard,Yes,Stage 1,None
Toyota,Corolla,Petrol,16,4,47433,4031805,Extreme Weather,32,Off-road terrain,Medium,Rainy,223,,178,7,257,6,5,Poor,Worn,Novice,Low,3,17,Luxury,Carbon Fiber,Yes,Sport,No,Stage 3,None
BMW,X5,Diesel,20,5,32601,2771085,Highway,28,Off-road terrain,Medium,Rainy,327,,131,8,152,6,7,Poor,New,Novice,High,7,18,Sport,Carbon Fiber,Yes,Standard,Yes,Stage 2,Turbo
Mercedes,GLE,Electric,24,5,57939,4924815,Highway,0,Off-road terrain,Low,Rainy,368,,176,8,170,8,7,Poor,Flat,Novice,High,8,18,Luxury,Alloy,No,Standard,Yes,Stage 2,None
Hyundai,Sonata,Petrol,31,4,20845,1771825,Extreme Weather,7,Off-road terrain,Medium,Clear,381,,198,6,151,5,9,Moderate wear,Flat,Expert,Medium,6,20,Sport,Alloy,No,Standard,No,Stage 2,Supercharger
Tesla,Model S,Diesel,23,4,34419,2925615,Off-Road,33,Off-road terrain,Low,Snowy,462,,152,6,161,9,6,Well-maintained,New,Intermediate,High,3,18,Classic,Carbon Fiber,Yes,Standard,Yes,Stage 2,None
Tesla,Model 3,Electric,25,5,46505,3952925,Heavy Traffic,28,Off-road terrain,High,Rainy,386,,170,6,215,5,8,Well-maintained,Worn,Intermediate,High,7,18,Luxury,Carbon Fiber,Yes,Reinforced,No,Stage 1,None
Toyota,Corolla,Petrol,36,5,73997,6289745,Off-Road,0,Highway,Medium,Rainy,489,,188,8,262,9,9,Well-maintained,New,Intermediate,Medium,5,21,Sport,Carbon Fiber,Yes,Reinforced,Yes,Stage 2,Supercharger
Ford,Mustang,Diesel,30,5,78175,6644875,Heavy Traffic,4,Off-road terrain,Medium,Clear,449,,181,8,165,7,6,Moderate wear,Worn,Novice,High,5,18,Luxury,Alloy,Yes,Sport,Yes,Stage 3,None
BMW,X5,Electric,35,5,77241,6565485,Heavy Traffic,1,Highway,High,Clear,336,,137,6,202,6,7,Well-maintained,New,Intermediate,High,10,20,Off-road,Carbon Fiber,No,Sport,Yes,Stage 1,Supercharger
Tesla,Model S,Electric,25,4,32316,2746860,Extreme Weather,5,City streets,Medium,Rainy,170,,138,8,251,6,7,Poor,Flat,Intermediate,Low,1,21,Luxury,Steel,Yes,Reinforced,No,Stage 3,Turbo
Tesla,Model S,Petrol,33,5,76805,6528425,Extreme Weather,14,Off-road terrain,High,Snowy,359,,163,7,218,5,6,Moderate wear,Worn,Novice,Low,10,17,Classic,Alloy,Yes,Reinforced,No,Stock,Supercharger
Ford,Mustang,Petrol,28,5,35173,2989705,Extreme Weather,-3,Highway,Low,Rainy,367,,160,6,239,8,6,Well-maintained,Worn,Expert,Low,1,18,Sport,Steel,Yes,Reinforced,Yes,Stage 1,Supercharger
Mercedes,E-Class,Electric,20,4,28399,2413915,Extreme Weather,15,Highway,Medium,Snowy,239,,157,7,251,5,7,Well-maintained,New,Expert,Medium,5,17,Off-road,Steel,No,Sport,No,Stage 3,None
Tesla,Model 3,Diesel,24,5,69756,5929260,Heavy Traffic,3,Off-road terrain,Medium,Rainy,434,,179,9,233,9,9,Moderate wear,Flat,Expert,High,8,18,Sport,Steel,Yes,Reinforced,No,Stock,Turbo
Mercedes,GLE,Electric,38,5,30464,2589440,Extreme Weather,3,City streets,High,Rainy,239,,128,8,198,7,8,Poor,New,Novice,Medium,7,17,Luxury,Alloy,Yes,Reinforced,No,Stock,None
Ford,Mustang,Diesel,15,4,30776,2615960,Urban,3,City streets,High,Snowy,236,,173,7,274,7,9,Moderate wear,Worn,Novice,Medium,10,21,Off-road,Alloy,No,Standard,Yes,Stage 1,None
Ford,Mustang,Petrol,31,5,41015,3486275,Highway,14,City streets,Low,Rainy,400,,100,6,265,9,5,Poor,Flat,Intermediate,Low,8,21,Classic,Alloy,Yes,Standard,Yes,Stock,Turbo
Hyundai,Kona EV,Diesel,31,5,79927,6793795,Extreme Weather,4,Off-road terrain,High,Clear,392,,153,8,293,5,6,Poor,New,Expert,Medium,3,21,Classic,Alloy,Yes,Standard,Yes,Stage 2,Supercharger
BMW,X5,Petrol,24,5,74225,6309125,Heavy Traffic,28,Off-road terrain,Low,Snowy,327,,186,8,208,7,8,Poor,New,Intermediate,High,5,21,Classic,Steel,No,Reinforced,Yes,Stage 1,None
Ford,F-150,Petrol,30,4,25147,2137495,Extreme Weather,7,City streets,High,Rainy,435,,153,9,229,6,7,Well-maintained,New,Expert,Medium,8,18,Luxury,Alloy,No,Sport,Yes,Stock,None
Tesla,Model S,Petrol,32,4,46691,3968735,Extreme Weather,30,City streets,Medium,Clear,318,,117,7,215,9,8,Poor,Flat,Expert,High,6,20,Classic,Alloy,No,Standard,No,Stage 2,None
Ford,F-150,Electric,28,5,26093,2217905,Urban,31,Highway,Medium,Snowy,208,,196,8,252,6,7,Moderate wear,Flat,Novice,Low,5,18,Classic,Alloy,Yes,Reinforced,No,Stock,Turbo
Ford,Mustang,Electric,24,5,57899,4921415,Extreme Weather,29,City streets,Low,Clear,181,,173,8,230,9,9,Moderate wear,New,Novice,High,4,20,Sport,Carbon Fiber,No,Sport,No,Stock,None
BMW,3 Series,Petrol,29,4,41400,3519000,Urban,9,Highway,Medium,Rainy,498,,103,7,224,7,7,Moderate wear,Worn,Intermediate,Medium,10,21,Luxury,Carbon Fiber,Yes,Standard,Yes,Stage 3,None
Ford,Mustang,Petrol,15,4,77804,6613340,Extreme Weather,-2,Off-road terrain,Medium,Rainy,241,,151,6,157,8,6,Well-maintained,Worn,Novice,Low,9,18,Off-road,Carbon Fiber,Yes,Reinforced,No,Stage 1,Supercharger
