Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Price,Price_IR,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Comfort_Rating,Emissions,Acceleration,Suspension_Performance,Vehicle_Condition,Tire_Condition,Driver_Experience,Performance_Optimization,Scenario_Adaptability,Rim_Wheel_Size,Rim_Wheel_Style,Rim_Wheel_Material,Spoiler,Bumper_Type,Side_Skirts,Power_Upgrade,Turbo_Supercharger
Ford,Mustang,Petrol,28,4,40942,3480070,Extreme Weather,30,City streets,High,Clear,171,,186,9,235,9,9,Moderate wear,New,Intermediate,High,7,20,Luxury,Steel,Yes,Reinforced,No,Stage 3,None
Ford,F-150,Diesel,23,4,77988,6628980,Heavy Traffic,17,Highway,High,Clear,256,,152,6,238,9,5,Well-maintained,New,Expert,Medium,6,20,Classic,Steel,Yes,Standard,No,Stage 2,Turbo
Tesla,Model S,Electric,26,4,60861,5173185,Urban,23,City streets,Low,Clear,249,,185,6,284,8,9,Poor,New,Novice,Medium,3,18,Luxury,Carbon Fiber,Yes,Reinforced,No,Stage 2,None
BMW,3 Series,Petrol,26,5,23996,2039660,Highway,-2,Off-road terrain,High,Clear,490,,116,9,290,8,6,Well-maintained,Worn,Expert,High,1,19,Off-road,Steel,No,Reinforced,Yes,Stage 2,None
Toyota,Corolla,Petrol,19,5,69656,5920760,Highway,14,City streets,High,Rainy,364,,132,7,269,5,5,Poor,New,Novice,High,6,17,Off-road,Alloy,Yes,Reinforced,No,Stage 2,Turbo
Tesla,Model 3,Diesel,18,5,61609,5236765,Urban,13,Off-road terrain,High,Rainy,233,,182,7,206,6,8,Moderate wear,Worn,Expert,High,7,21,Off-road,Carbon Fiber,No,Standard,No,Stage 2,None
Ford,Mustang,Diesel,32,5,64348,5469580,Highway,14,Highway,Low,Rainy,395,,180,7,290,8,6,Well-maintained,Worn,Novice,Medium,2,20,Off-road,Carbon Fiber,Yes,Standard,No,Stage 3,None
Ford,Mustang,Electric,22,4,50164,4263940,Extreme Weather,24,Highway,Medium,Clear,287,,147,8,256,6,5,Well-maintained,Worn,Intermediate,Low,7,19,Off-road,Alloy,Yes,Standard,No,Stock,Supercharger
Tesla,Model S,Electric,23,4,66581,5659385,Heavy Traffic,7,Off-road terrain,High,Snowy,439,,180,8,235,7,6,Poor,Flat,Expert,High,9,18,Luxury,Steel,Yes,Sport,No,Stage 1,Supercharger
Mercedes,E-Class,Electric,36,5,53593,4555405,Heavy Traffic,-1,City streets,Low,Rainy,154,,159,9,170,8,6,Well-maintained,Worn,Intermediate,Low,5,18,Off-road,Alloy,Yes,Reinforced,No,Stage 1,None
Toyota,Camry,Electric,17,4,51171,4349535,Extreme Weather,28,Highway,High,Clear,316,,141,8,219,6,5,Well-maintained,New,Intermediate,High,9,19,Sport,Alloy,Yes,Standard,Yes,Stage 1,Supercharger
Mercedes,GLE,Electric,26,5,73871,6279035,Highway,-5,Off-road terrain,Medium,Clear,285,,154,9,196,6,9,Moderate wear,Worn,Novice,Low,1,18,Classic,Steel,No,Sport,Yes,Stage 2,Supercharger
Hyundai,Sonata,Electric,28,5,31280,2658800,Off-Road,-2,City streets,High,Rainy,457,,109,7,246,7,6,Poor,Worn,Novice,Low,2,18,Luxury,Steel,Yes,Reinforced,No,Stage 3,Supercharger
BMW,3 Series,Petrol,22,4,69684,5923140,Highway,18,Highway,High,Rainy,244,,161,6,274,6,6,Poor,New,Intermediate,Medium,10,21,Off-road,Carbon Fiber,No,Standard,Yes,Stage 3,Supercharger
BMW,X5,Electric,16,5,20260,1722100,Extreme Weather,19,City streets,Low,Clear,350,,169,7,168,5,8,Poor,New,Intermediate,High,8,20,Classic,Carbon Fiber,Yes,Sport,No,Stage 1,Supercharger
Toyota,Corolla,Diesel,19,4,59451,5053335,Heavy Traffic,11,City streets,High,Snowy,367,,114,8,285,9,7,Well-maintained,New,Expert,High,6,21,Sport,Carbon Fiber,Yes,Sport,No,Stage 2,Supercharger
Ford,F-150,Diesel,15,5,32812,2789020,Highway,-1,City streets,Low,Clear,238,,146,9,159,8,5,Moderate wear,Worn,Expert,Medium,4,21,Classic,Alloy,Yes,Sport,Yes,Stage 3,None
Tesla,Model 3,Electric,31,5,31043,2638655,Urban,8,Highway,High,Rainy,259,,166,7,235,7,7,Moderate wear,New,Intermediate,High,1,18,Off-road,Carbon Fiber,Yes,Sport,Yes,Stage 1,None
Mercedes,GLE,Electric,22,4,32823,2789955,Off-Road,29,Off-road terrain,Medium,Snowy,258,,143,7,248,8,5,Well-maintained,Worn,Expert,Low,6,17,Sport,Carbon Fiber,Yes,Standard,No,Stage 2,Supercharger
BMW,X5,Diesel,24,5,24179,2055215,Urban,22,Off-road terrain,High,Clear,256,,139,7,169,7,8,Poor,New,Intermediate,High,6,21,Sport,Alloy,No,Sport,No,Stage 2,Supercharger
Tesla,Model S,Diesel,39,5,68764,5844940,Extreme Weather,31,City streets,Medium,Clear,496,,159,9,172,8,9,Poor,Worn,Expert,Medium,4,18,Off-road,Alloy,No,Standard,No,Stage 2,None
Hyundai,Sonata,Diesel,24,5,70908,6027180,Off-Road,9,Off-road terrain,High,Clear,269,,179,6,277,7,7,Well-maintained,New,Intermediate,Medium,2,21,Off-road,Carbon Fiber,Yes,Reinforced,No,Stock,None
Ford,Mustang,Electric,29,5,69997,5949745,Heavy Traffic,31,City streets,Low,Snowy,475,,179,6,187,9,5,Moderate wear,New,Novice,Medium,4,19,Luxury,Alloy,Yes,Standard,Yes,Stage 1,Supercharger
BMW,3 Series,Diesel,30,5,78541,6675985,Highway,12,City streets,Low,Snowy,484,,156,6,219,7,8,Well-maintained,New,Expert,High,8,20,Classic,Steel,Yes,Reinforced,No,Stock,Turbo
Mercedes,GLE,Diesel,25,5,50314,4276690,Highway,-2,City streets,Medium,Rainy,150,,124,7,212,5,7,Well-maintained,Flat,Intermediate,Low,6,18,Luxury,Steel,Yes,Standard,Yes,Stage 1,Supercharger
Ford,F-150,Electric,32,5,76271,6483035,Highway,0,Off-road terrain,High,Snowy,291,,137,9,260,5,7,Poor,New,Novice,High,5,20,Sport,Carbon Fiber,No,Sport,No,Stage 2,Supercharger
Mercedes,GLE,Diesel,39,4,26765,2275025,Extreme Weather,-2,City streets,High,Clear,286,,102,7,249,5,5,Well-maintained,Worn,Expert,Low,10,18,Off-road,Steel,Yes,Reinforced,No,Stage 1,None
Toyota,Camry,Diesel,24,4,45274,3848290,Extreme Weather,16,Highway,Low,Clear,360,,124,7,234,8,8,Poor,Worn,Expert,Medium,5,20,Classic,Steel,No,Standard,No,Stock,None
Ford,Mustang,Diesel,26,4,50540,4295900,Extreme Weather,6,Off-road terrain,Medium,Snowy,192,,150,7,249,5,7,Poor,New,Expert,Low,1,19,Sport,Carbon Fiber,Yes,Reinforced,Yes,Stage 1,Supercharger
Ford,F-150,Electric,19,4,38161,3243685,Extreme Weather,1,City streets,Low,Snowy,236,,156,8,252,5,7,Moderate wear,New,Expert,Low,10,17,Sport,Carbon Fiber,No,Reinforced,Yes,Stage 3,None
Tesla,Model S,Petrol,35,5,55285,4699225,Off-Road,24,Highway,Low,Snowy,458,,186,7,238,5,8,Well-maintained,New,Intermediate,Low,3,17,Sport,Carbon Fiber,No,Sport,Yes,Stock,Supercharger
Ford,Mustang,Petrol,39,5,34817,2959445,Heavy Traffic,26,City streets,Low,Snowy,465,,158,6,207,8,6,Well-maintained,Worn,Expert,Low,9,21,Sport,Carbon Fiber,No,Sport,Yes,Stage 1,Turbo
Toyota,Corolla,Diesel,28,4,77647,6599995,Urban,0,Highway,High,Clear,428,,183,6,196,8,5,Moderate wear,Worn,Novice,Medium,4,19,Sport,Carbon Fiber,No,Reinforced,Yes,Stage 1,None
Toyota,Camry,Diesel,32,5,64052,5444420,Off-Road,21,City streets,Low,Clear,383,,189,6,185,5,8,Moderate wear,New,Novice,Medium,3,20,Sport,Alloy,Yes,Sport,No,Stock,None
Mercedes,GLE,Petrol,37,4,56373,4791705,Heavy Traffic,31,Highway,Low,Clear,379,,179,6,156,7,5,Well-maintained,Worn,Novice,Medium,3,21,Luxury,Alloy,Yes,Sport,Yes,Stage 2,Turbo
BMW,3 Series,Electric,34,5,74638,6344230,Urban,11,Highway,High,Clear,165,,152,9,249,8,9,Well-maintained,Worn,Expert,Medium,5,18,Off-road,Alloy,Yes,Reinforced,Yes,Stock,Turbo
Toyota,Corolla,Electric,36,5,68807,5848595,Highway,31,Off-road terrain,Medium,Snowy,389,,111,6,259,6,5,Moderate wear,Flat,Novice,Low,2,18,Luxury,Steel,Yes,Sport,Yes,Stock,Turbo
Toyota,Corolla,Diesel,36,4,26608,2261680,Heavy Traffic,7,Off-road terrain,High,Snowy,202,,189,9,226,8,8,Moderate wear,New,Novice,High,2,18,Luxury,Alloy,No,Reinforced,Yes,Stage 1,Turbo
Ford,Mustang,Petrol,23,5,31183,2650555,Extreme Weather,27,Off-road terrain,High,Clear,227,,108,8,197,7,9,Poor,Flat,Expert,Medium,2,18,Sport,Steel,No,Standard,No,Stock,None
BMW,X5,Electric,15,4,35977,3058045,Heavy Traffic,6,Off-road terrain,High,Snowy,295,,149,7,275,6,9,Well-maintained,New,Intermediate,Medium,10,20,Off-road,Carbon Fiber,No,Sport,No,Stage 3,Supercharger
Mercedes,GLE,Electric,26,4,72208,6137680,Heavy Traffic,25,City streets,Medium,Rainy,438,,125,7,249,5,7,Poor,Worn,Novice,Low,7,18,Luxury,Carbon Fiber,No,Sport,Yes,Stage 2,None
Ford,F-150,Diesel,17,4,37326,3172710,Extreme Weather,11,Highway,Medium,Rainy,335,,161,6,283,7,5,Poor,New,Novice,Medium,10,18,Classic,Carbon Fiber,No,Reinforced,No,Stage 2,None
Hyundai,Kona EV,Diesel,30,4,74380,6322300,Off-Road,4,Highway,Medium,Rainy,423,,180,7,259,6,9,Moderate wear,Worn,Expert,High,9,19,Classic,Carbon Fiber,Yes,Sport,Yes,Stage 1,Turbo
BMW,X5,Diesel,18,5,76232,6479720,Heavy Traffic,-1,Off-road terrain,Medium,Rainy,200,,151,7,157,5,9,Well-maintained,Flat,Expert,Low,1,19,Classic,Carbon Fiber,Yes,Standard,No,Stage 1,Supercharger
Ford,F-150,Diesel,29,4,45208,3842680,Heavy Traffic,18,Off-road terrain,Low,Rainy,264,,147,6,162,9,7,Poor,Flat,Intermediate,Medium,1,18,Luxury,Carbon Fiber,No,Sport,No,Stage 1,Supercharger
Tesla,Model 3,Petrol,24,5,40545,3446325,Heavy Traffic,5,City streets,High,Snowy,216,,168,8,173,5,6,Moderate wear,Flat,Intermediate,Medium,5,20,Sport,Carbon Fiber,No,Standard,No,Stage 3,Turbo
Tesla,Model S,Petrol,29,5,51510,4378350,Heavy Traffic,27,Highway,Medium,Snowy,266,,123,7,188,6,7,Moderate wear,Worn,Novice,High,10,21,Classic,Steel,No,Standard,No,Stage 2,Supercharger
BMW,X5,Diesel,33,4,22473,1910205,Off-Road,21,City streets,Medium,Clear,488,,169,6,232,9,7,Moderate wear,Worn,Novice,Medium,7,17,Sport,Steel,Yes,Sport,No,Stage 3,Turbo
BMW,3 Series,Petrol,32,4,78235,6649975,Heavy Traffic,7,Off-road terrain,Medium,Clear,373,,177,8,280,5,6,Well-maintained,Flat,Intermediate,Low,2,20,Sport,Alloy,No,Standard,No,Stage 2,Supercharger
Hyundai,Sonata,Electric,21,4,31939,2714815,Highway,-5,Off-road terrain,Low,Snowy,265,,151,9,288,7,9,Moderate wear,Worn,Intermediate,High,10,17,Off-road,Steel,Yes,Reinforced,Yes,Stage 3,Turbo
Mercedes,GLE,Petrol,32,4,28831,2450635,Highway,34,Highway,Low,Rainy,155,,184,8,185,8,5,Poor,Worn,Novice,High,10,21,Sport,Carbon Fiber,No,Standard,No,Stage 2,Turbo
Ford,Mustang,Petrol,17,4,21848,1857080,Heavy Traffic,20,Highway,High,Rainy,212,,163,7,283,7,6,Poor,Flat,Novice,High,3,21,Classic,Carbon Fiber,Yes,Sport,No,Stage 3,Turbo
Hyundai,Sonata,Petrol,27,4,23774,2020790,Extreme Weather,8,Off-road terrain,High,Snowy,348,,175,6,281,6,7,Moderate wear,Flat,Intermediate,Low,10,21,Sport,Alloy,No,Sport,Yes,Stage 3,Supercharger
Hyundai,Sonata,Petrol,29,5,59994,5099490,Urban,3,Off-road terrain,Low,Clear,471,,174,8,157,9,8,Poor,Flat,Intermediate,High,2,21,Sport,Carbon Fiber,Yes,Standard,No,Stage 1,None
Toyota,Corolla,Electric,18,4,62381,5302385,Off-Road,33,City streets,High,Snowy,358,,136,9,286,6,8,Well-maintained,New,Intermediate,High,4,21,Classic,Carbon Fiber,Yes,Sport,Yes,Stage 2,None
Mercedes,E-Class,Petrol,23,4,46924,3988540,Urban,26,Highway,Low,Clear,179,,183,7,209,5,8,Well-maintained,New,Expert,Low,4,18,Luxury,Carbon Fiber,Yes,Standard,No,Stage 2,Turbo
Toyota,Camry,Diesel,37,5,52963,4501855,Urban,19,Highway,High,Rainy,284,,112,9,192,5,8,Moderate wear,Worn,Expert,Medium,5,21,Off-road,Alloy,Yes,Sport,Yes,Stage 2,Turbo
BMW,X5,Diesel,36,5,41087,3492395,Off-Road,23,Highway,Low,Rainy,421,,118,6,265,7,6,Moderate wear,New,Novice,Medium,8,18,Off-road,Steel,No,Sport,No,Stage 1,None
BMW,X5,Diesel,23,4,69901,5941585,Heavy Traffic,7,City streets,High,Rainy,235,,163,9,229,7,6,Moderate wear,Worn,Novice,Low,1,19,Off-road,Carbon Fiber,Yes,Reinforced,Yes,Stage 3,None
Mercedes,E-Class,Electric,35,4,25190,2141150,Urban,3,Highway,Medium,Snowy,289,,170,7,196,9,6,Poor,New,Expert,Medium,5,20,Off-road,Steel,No,Reinforced,Yes,Stock,Supercharger
Mercedes,E-Class,Diesel,28,4,59293,5039905,Urban,33,City streets,Low,Clear,186,,107,8,226,9,7,Moderate wear,Worn,Novice,Low,6,17,Luxury,Steel,No,Reinforced,Yes,Stock,Supercharger
Hyundai,Kona EV,Electric,31,4,50649,4305165,Extreme Weather,5,City streets,Medium,Clear,253,,133,7,276,9,7,Well-maintained,Worn,Expert,Low,7,18,Sport,Alloy,No,Sport,No,Stage 2,Turbo
Mercedes,GLE,Diesel,23,4,47407,4029595,Highway,7,Highway,Low,Snowy,431,,127,6,226,9,8,Well-maintained,Flat,Intermediate,Low,5,18,Off-road,Carbon Fiber,Yes,Standard,No,Stock,None
Ford,F-150,Petrol,30,4,70831,6020635,Off-Road,14,Off-road terrain,Low,Rainy,315,,171,8,227,8,5,Poor,Flat,Intermediate,High,5,21,Luxury,Carbon Fiber,Yes,Reinforced,No,Stage 3,Supercharger
Toyota,Camry,Petrol,23,4,68795,5847575,Urban,28,Off-road terrain,Low,Clear,197,,130,9,257,5,5,Poor,Worn,Expert,Low,7,20,Off-road,Alloy,Yes,Sport,Yes,Stock,Turbo
Ford,Mustang,Electric,38,5,53357,4535345,Urban,11,City streets,Low,Clear,484,,155,6,217,6,8,Moderate wear,Worn,Novice,Low,10,17,Off-road,Carbon Fiber,Yes,Reinforced,Yes,Stage 3,None
Tesla,Model S,Electric,27,5,21942,1865070,Highway,31,City streets,High,Rainy,487,,148,8,283,6,6,Moderate wear,New,Novice,Medium,7,17,Sport,Alloy,Yes,Reinforced,Yes,Stage 3,Supercharger
Ford,F-150,Electric,23,5,61018,5186530,Heavy Traffic,-4,Off-road terrain,High,Rainy,314,,170,9,247,7,6,Well-maintained,Worn,Expert,Low,7,18,Off-road,Carbon Fiber,No,Reinforced,No,Stage 3,Supercharger
Tesla,Model 3,Diesel,29,5,57010,4845850,Extreme Weather,29,Off-road terrain,Medium,Snowy,405,,163,7,252,5,7,Moderate wear,New,Intermediate,Low,6,20,Classic,Alloy,No,Reinforced,Yes,Stage 2,Supercharger
BMW,X5,Petrol,18,5,70660,6006100,Urban,34,Off-road terrain,High,Rainy,186,,113,8,272,7,5,Moderate wear,New,Expert,High,6,20,Off-road,Steel,Yes,Reinforced,No,Stage 1,Supercharger
BMW,X5,Electric,28,4,77911,6622435,Off-Road,32,City streets,Low,Rainy,243,,109,7,285,8,6,Poor,Flat,Novice,High,7,17,Sport,Steel,Yes,Sport,No,Stage 2,Turbo
BMW,X5,Petrol,25,5,46367,3941195,Urban,27,Highway,High,Clear,218,,196,9,179,9,9,Well-maintained,New,Expert,Medium,10,21,Classic,Carbon Fiber,No,Sport,Yes,Stage 1,None
Tesla,Model S,Electric,19,4,70808,6018680,Heavy Traffic,10,City streets,High,Snowy,460,,119,9,183,6,9,Moderate wear,Worn,Intermediate,Low,1,18,Classic,Alloy,No,Reinforced,No,Stage 1,None
Mercedes,E-Class,Petrol,30,4,27386,2327810,Highway,9,City streets,Low,Snowy,363,,183,6,169,6,7,Poor,Flat,Expert,High,5,20,Classic,Alloy,Yes,Reinforced,Yes,Stage 1,Supercharger
Ford,Mustang,Electric,17,5,41219,3503615,Extreme Weather,28,Off-road terrain,High,Rainy,374,,101,7,229,5,8,Poor,Flat,Expert,Medium,6,21,Luxury,Steel,Yes,Sport,No,Stock,Supercharger
Hyundai,Kona EV,Electric,28,4,58183,4945555,Urban,33,City streets,High,Rainy,329,,196,8,223,5,5,Well-maintained,New,Intermediate,Low,2,21,Luxury,Alloy,Yes,Reinforced,No,Stage 1,None
Mercedes,E-Class,Diesel,17,4,53262,4527270,Urban,17,City streets,High,Rainy,439,,132,7,230,9,7,Moderate wear,Flat,Expert,Low,9,21,Classic,Alloy,No,Sport,No,Stage 1,Turbo
Hyundai,Kona EV,Diesel,30,4,74747,6353495,Urban,21,Highway,Low,Rainy,444,,185,9,256,9,6,Moderate wear,Worn,Novice,Low,2,17,Classic,Alloy,Yes,Standard,Yes,Stage 1,None
Toyota,Corolla,Petrol,27,4,59351,5044835,Extreme Weather,25,Off-road terrain,Medium,Clear,285,,154,6,290,9,8,Moderate wear,Worn,Expert,High,4,20,Sport,Carbon Fiber,Yes,Reinforced,Yes,Stage 1,Supercharger
BMW,X5,Electric,30,4,40531,3445135,Highway,18,City streets,Medium,Snowy,184,,116,6,248,8,9,Poor,Worn,Expert,Medium,8,17,Off-road,Steel,Yes,Sport,Yes,Stage 1,None
Toyota,Camry,Diesel,20,4,76063,6465355,Urban,3,City streets,Low,Rainy,243,,178,8,164,6,6,Poor,Worn,Intermediate,Low,7,17,Classic,Carbon Fiber,Yes,Standard,Yes,Stage 1,None
Ford,Mustang,Diesel,18,5,75235,6394975,Urban,29,Off-road terrain,High,Snowy,469,,194,6,254,9,6,Well-maintained,New,Intermediate,High,4,19,Off-road,Steel,No,Sport,Yes,Stage 2,None
Mercedes,E-Class,Electric,30,5,23889,2030565,Heavy Traffic,29,Off-road terrain,Medium,Snowy,393,,140,9,288,9,9,Poor,New,Intermediate,Low,8,21,Sport,Steel,No,Standard,No,Stock,Supercharger
Ford,Mustang,Electric,32,5,55556,4722260,Heavy Traffic,14,City streets,Low,Rainy,228,,122,7,280,9,9,Well-maintained,Worn,Novice,High,2,21,Off-road,Steel,No,Reinforced,Yes,Stage 2,Supercharger
Toyota,Corolla,Petrol,29,4,52019,4421615,Off-Road,15,City streets,High,Rainy,272,,198,7,194,8,7,Well-maintained,Worn,Novice,High,7,18,Off-road,Carbon Fiber,Yes,Reinforced,Yes,Stage 1,Supercharger
BMW,3 Series,Electric,34,5,64293,5464905,Heavy Traffic,19,Off-road terrain,Low,Snowy,351,,136,8,162,5,6,Moderate wear,New,Novice,High,10,18,Off-road,Carbon Fiber,No,Reinforced,Yes,Stage 2,Turbo
Ford,Mustang,Electric,31,4,54069,4595865,Urban,5,Off-road terrain,High,Rainy,162,,170,9,194,5,7,Moderate wear,Flat,Expert,High,9,21,Off-road,Steel,No,Standard,Yes,Stage 3,Turbo
Ford,Mustang,Diesel,34,5,79332,6743220,Extreme Weather,-1,City streets,High,Rainy,454,,120,6,241,6,6,Poor,Flat,Novice,Medium,4,18,Luxury,Alloy,No,Sport,Yes,Stage 3,Turbo
Toyota,Corolla,Petrol,37,5,72979,6203215,Urban,24,Highway,Medium,Clear,416,,130,7,160,9,8,Moderate wear,Worn,Novice,Low,7,18,Luxury,Alloy,No,Standard,No,Stage 2,Supercharger
BMW,X5,Diesel,20,5,62719,5331115,Extreme Weather,5,Off-road terrain,High,Rainy,399,,165,6,227,5,6,Poor,Flat,Expert,High,10,20,Classic,Carbon Fiber,Yes,Sport,Yes,Stage 2,Turbo
BMW,3 Series,Petrol,22,4,26704,2269840,Highway,34,Off-road terrain,Medium,Clear,257,,132,8,226,9,5,Moderate wear,Worn,Novice,Medium,10,21,Classic,Alloy,Yes,Sport,No,Stock,None
BMW,X5,Petrol,27,5,53523,4549455,Highway,15,Highway,Medium,Rainy,435,,101,8,260,8,5,Moderate wear,Worn,Intermediate,Low,6,20,Sport,Steel,No,Reinforced,Yes,Stage 3,Turbo
Ford,Mustang,Petrol,22,4,27664,2351440,Urban,28,Highway,Medium,Rainy,419,,130,7,261,8,5,Poor,Flat,Intermediate,High,9,21,Luxury,Steel,No,Sport,No,Stage 3,Supercharger
Tesla,Model S,Diesel,17,5,38909,3307265,Highway,24,Off-road terrain,High,Rainy,310,,132,7,187,6,5,Moderate wear,Worn,Novice,Low,1,18,Luxury,Carbon Fiber,No,Sport,No,Stage 3,Supercharger
Hyundai,Sonata,Electric,33,5,53293,4529905,Extreme Weather,-4,City streets,Medium,Snowy,407,,116,8,159,5,7,Well-maintained,Flat,Expert,Medium,5,19,Classic,Alloy,Yes,Standard,No,Stage 2,Turbo
Mercedes,E-Class,Petrol,24,5,26004,2210340,Extreme Weather,12,City streets,Medium,Snowy,456,,140,6,173,5,8,Well-maintained,Flat,Expert,High,2,17,Sport,Alloy,No,Reinforced,No,Stage 3,None
Tesla,Model S,Diesel,15,4,75598,6425830,Highway,33,City streets,Low,Snowy,393,,167,9,185,9,6,Moderate wear,Flat,Expert,Low,6,20,Luxury,Alloy,No,Sport,Yes,Stage 2,Turbo
Tesla,Model S,Diesel,25,5,77085,6552225,Off-Road,32,City streets,High,Rainy,263,,103,6,217,8,7,Well-maintained,New,Intermediate,Low,2,21,Sport,Steel,No,Reinforced,No,Stage 3,Supercharger
Hyundai,Kona EV,Diesel,20,4,48582,4129470,Off-Road,10,Highway,Medium,Snowy,461,,107,7,176,7,5,Moderate wear,New,Expert,High,6,18,Off-road,Carbon Fiber,Yes,Reinforced,Yes,Stage 2,Supercharger
Ford,Mustang,Electric,27,4,70909,6027265,Off-Road,4,Highway,Medium,Clear,459,,128,7,286,9,9,Moderate wear,New,Novice,Low,8,18,Luxury,Steel,Yes,Reinforced,No,Stock,Supercharger
Hyundai,Sonata,Electric,36,4,28753,2444005,Urban,13,Highway,High,Snowy,495,,180,7,168,7,8,Well-maintained,Flat,Novice,Low,7,20,Classic,Alloy,Yes,Sport,No,Stage 1,Supercharger
